label,fpr,tpr,threshold
Atelectasis,0.0,0.0,1.4999038
Atelectasis,1.0,1.0,0.49990383
Cardiomegaly,0.0,0.0,1.4997925
Cardiomegaly,1.0,1.0,0.49979243
Consolidation,0.0,0.0,1.4990892
Consolidation,1.0,1.0,0.4990893
Edema,0.0,0.0,1.5020642
Edema,1.0,1.0,0.50206417
Effusion,0.0,0.0,1.4999605
Effusion,1.0,1.0,0.49996054
Emphysema,0.0,0.0,1.4992261
Emphysema,1.0,1.0,0.49922615
Fibrosis,0.0,0.0,1.5009596
Fibrosis,1.0,1.0,0.5009596
Hernia,0.0,0.0,1.4997721
Hernia,1.0,1.0,0.499772
Infiltration,0.0,0.0,1.5011319
Infiltration,1.0,1.0,0.5011319
Mass,0.0,0.0,1.5005441
Mass,1.0,1.0,0.5005441
Nodule,0.0,0.0,1.4998248
Nodule,1.0,1.0,0.4998247
Pleural_Thickening,0.0,0.0,1.501373
Pleural_Thickening,1.0,1.0,0.50137305
Pneumonia,0.0,0.0,1.5008758
Pneumonia,1.0,1.0,0.50087583
Pneumothorax,0.0,0.0,1.4996697
Pneumothorax,1.0,1.0,0.49966964
